ID,Parameter_ID,Name,Description
GB020-1,GB020,1,
GB020-0,GB020,0,
GB021-1,GB021,1,
GB021-0,GB021,0,
GB022-1,GB022,1,
GB022-0,GB022,0,
GB023-1,GB023,1,
GB023-0,GB023,0,
GB024-2,GB024,2,
GB024-1,GB024,1,
GB024-3,GB024,3,
GB025-1,GB025,1,
GB026-1,GB026,1,
GB026-0,GB026,0,
GB027-1,GB027,1,
GB027-0,GB027,0,
GB028-1,GB028,1,
GB028-0,GB028,0,
GB030-1,GB030,1,
GB030-0,GB030,0,
GB031-1,GB031,1,
GB031-0,GB031,0,
GB035-1,GB035,1,
GB035-0,GB035,0,
GB036-0,GB036,0,
GB037-1,GB037,1,
GB037-0,GB037,0,
GB038-0,GB038,0,
GB039-1,GB039,1,
GB039-0,GB039,0,
GB041-1,GB041,1,
GB041-0,GB041,0,
GB042-1,GB042,1,
GB042-0,GB042,0,
GB043-1,GB043,1,
GB043-0,GB043,0,
GB044-1,GB044,1,
GB044-0,GB044,0,
GB046-1,GB046,1,
GB046-0,GB046,0,
GB047-1,GB047,1,
GB047-0,GB047,0,
GB048-1,GB048,1,
GB048-0,GB048,0,
GB049-1,GB049,1,
GB049-0,GB049,0,
GB051-0,GB051,0,
GB052-0,GB052,0,
GB053-0,GB053,0,
GB054-0,GB054,0,
GB057-1,GB057,1,
GB057-0,GB057,0,
GB058-0,GB058,0,
GB059-1,GB059,1,
GB059-0,GB059,0,
GB065-1,GB065,1,
GB065-3,GB065,3,
GB068-1,GB068,1,
GB068-0,GB068,0,
GB069-1,GB069,1,
GB069-0,GB069,0,
GB070-1,GB070,1,
GB070-0,GB070,0,
GB071-1,GB071,1,
GB071-0,GB071,0,
GB072-1,GB072,1,
GB072-0,GB072,0,
GB073-1,GB073,1,
GB074-1,GB074,1,
GB074-0,GB074,0,
GB075-1,GB075,1,
GB079-1,GB079,1,
GB079-0,GB079,0,
GB080-1,GB080,1,
GB081-0,GB081,0,
GB082-1,GB082,1,
GB082-0,GB082,0,
GB083-1,GB083,1,
GB083-0,GB083,0,
GB084-1,GB084,1,
GB084-0,GB084,0,
GB086-1,GB086,1,
GB086-0,GB086,0,
GB089-1,GB089,1,
GB089-0,GB089,0,
GB090-0,GB090,0,
GB091-1,GB091,1,
GB091-0,GB091,0,
GB092-0,GB092,0,
GB093-0,GB093,0,
GB094-0,GB094,0,
GB095-0,GB095,0,
GB096-0,GB096,0,
GB098-0,GB098,0,
GB099-0,GB099,0,
GB103-1,GB103,1,
GB103-0,GB103,0,
GB104-0,GB104,0,
GB105-1,GB105,1,
GB105-0,GB105,0,
GB107-1,GB107,1,
GB107-0,GB107,0,
GB108-1,GB108,1,
GB108-0,GB108,0,
GB109-0,GB109,0,
GB110-1,GB110,1,
GB110-0,GB110,0,
GB111-1,GB111,1,
GB111-0,GB111,0,
GB113-1,GB113,1,
GB114-1,GB114,1,
GB114-0,GB114,0,
GB115-1,GB115,1,
GB115-0,GB115,0,
GB116-0,GB116,0,
GB117-1,GB117,1,
GB117-0,GB117,0,
GB118-1,GB118,1,
GB118-0,GB118,0,
GB119-1,GB119,1,
GB119-0,GB119,0,
GB120-1,GB120,1,
GB120-0,GB120,0,
GB121-1,GB121,1,
GB121-0,GB121,0,
GB122-1,GB122,1,
GB122-0,GB122,0,
GB123-1,GB123,1,
GB123-0,GB123,0,
GB124-0,GB124,0,
GB126-1,GB126,1,
GB126-0,GB126,0,
GB127-1,GB127,1,
GB127-0,GB127,0,
GB129-0,GB129,0,
GB130-1,GB130,1,
GB130-3,GB130,3,
GB131-0,GB131,0,
GB132-1,GB132,1,
GB132-0,GB132,0,
GB133-1,GB133,1,
GB134-1,GB134,1,
GB134-0,GB134,0,
GB135-1,GB135,1,
GB135-0,GB135,0,
GB136-1,GB136,1,
GB136-0,GB136,0,
GB137-1,GB137,1,
GB137-0,GB137,0,
GB138-1,GB138,1,
GB138-0,GB138,0,
GB139-1,GB139,1,
GB139-0,GB139,0,
GB140-1,GB140,1,
GB140-0,GB140,0,
GB146-1,GB146,1,
GB146-0,GB146,0,
GB147-1,GB147,1,
GB147-0,GB147,0,
GB148-0,GB148,0,
GB149-0,GB149,0,
GB150-1,GB150,1,
GB150-0,GB150,0,
GB151-1,GB151,1,
GB151-0,GB151,0,
GB152-1,GB152,1,
GB152-0,GB152,0,
GB155-1,GB155,1,
GB156-1,GB156,1,
GB156-0,GB156,0,
GB158-1,GB158,1,
GB158-0,GB158,0,
GB159-1,GB159,1,
GB159-0,GB159,0,
GB160-1,GB160,1,
GB160-0,GB160,0,
GB165-0,GB165,0,
GB166-1,GB166,1,
GB166-0,GB166,0,
GB167-1,GB167,1,
GB167-0,GB167,0,
GB170-0,GB170,0,
GB171-0,GB171,0,
GB172-0,GB172,0,
GB177-0,GB177,0,
GB184-1,GB184,1,
GB184-0,GB184,0,
GB185-1,GB185,1,
GB185-0,GB185,0,
GB186-0,GB186,0,
GB187-1,GB187,1,
GB187-0,GB187,0,
GB188-1,GB188,1,
GB188-0,GB188,0,
GB192-0,GB192,0,
GB193-1,GB193,1,
GB196-1,GB196,1,
GB196-0,GB196,0,
GB197-1,GB197,1,
GB197-0,GB197,0,
GB198-0,GB198,0,
GB203-2,GB203,2,
GB203-1,GB203,1,
GB203-3,GB203,3,
GB204-1,GB204,1,
GB204-0,GB204,0,
GB250-1,GB250,1,
GB250-0,GB250,0,
GB252-1,GB252,1,
GB252-0,GB252,0,
GB253-1,GB253,1,
GB253-0,GB253,0,
GB254-1,GB254,1,
GB254-0,GB254,0,
GB256-1,GB256,1,
GB256-0,GB256,0,
GB257-1,GB257,1,
GB257-0,GB257,0,
GB260-0,GB260,0,
GB262-0,GB262,0,
GB263-1,GB263,1,
GB263-0,GB263,0,
GB264-1,GB264,1,
GB264-0,GB264,0,
GB265-1,GB265,1,
GB265-0,GB265,0,
GB266-1,GB266,1,
GB266-0,GB266,0,
GB270-0,GB270,0,
GB273-1,GB273,1,
GB273-0,GB273,0,
GB275-1,GB275,1,
GB275-0,GB275,0,
GB276-1,GB276,1,
GB276-0,GB276,0,
GB285-1,GB285,1,
GB285-0,GB285,0,
GB286-1,GB286,1,
GB286-0,GB286,0,
GB291-0,GB291,0,
GB296-1,GB296,1,
GB296-0,GB296,0,
GB297-1,GB297,1,
GB297-0,GB297,0,
GB298-1,GB298,1,
GB298-0,GB298,0,
GB299-1,GB299,1,
GB299-0,GB299,0,
GB300-0,GB300,0,
GB301-1,GB301,1,
GB301-0,GB301,0,
GB302-1,GB302,1,
GB302-0,GB302,0,
GB303-0,GB303,0,
GB304-1,GB304,1,
GB304-0,GB304,0,
GB305-1,GB305,1,
GB305-0,GB305,0,
GB306-1,GB306,1,
GB306-0,GB306,0,
GB309-1,GB309,1,
GB309-0,GB309,0,
GB312-1,GB312,1,
GB312-0,GB312,0,
GB313-1,GB313,1,
GB313-0,GB313,0,
GB314-0,GB314,0,
GB315-0,GB315,0,
GB316-1,GB316,1,
GB316-0,GB316,0,
GB317-0,GB317,0,
GB318-1,GB318,1,
GB318-0,GB318,0,
GB319-0,GB319,0,
GB320-0,GB320,0,
GB321-0,GB321,0,
GB322-1,GB322,1,
GB322-0,GB322,0,
GB323-1,GB323,1,
GB323-0,GB323,0,
GB324-1,GB324,1,
GB324-0,GB324,0,
GB325-1,GB325,1,
GB325-0,GB325,0,
GB326-1,GB326,1,
GB326-0,GB326,0,
GB327-1,GB327,1,
GB327-0,GB327,0,
GB328-1,GB328,1,
GB328-0,GB328,0,
GB329-1,GB329,1,
GB329-0,GB329,0,
GB330-1,GB330,1,
GB330-0,GB330,0,
GB331-0,GB331,0,
GB333-1,GB333,1,
GB334-0,GB334,0,
GB335-0,GB335,0,
GB336-0,GB336,0,
GB400-1,GB400,1,
GB400-0,GB400,0,
GB401-1,GB401,1,
GB401-0,GB401,0,
GB402-0,GB402,0,
GB403-1,GB403,1,
GB403-0,GB403,0,
GB408-1,GB408,1,
GB408-0,GB408,0,
GB409-1,GB409,1,
GB409-0,GB409,0,
GB410-1,GB410,1,
GB410-0,GB410,0,
GB415-1,GB415,1,
GB415-0,GB415,0,
GB421-1,GB421,1,
GB421-0,GB421,0,
GB422-1,GB422,1,
GB422-0,GB422,0,
GB430-0,GB430,0,
GB431-1,GB431,1,
GB431-0,GB431,0,
GB432-1,GB432,1,
GB432-0,GB432,0,
GB433-1,GB433,1,
GB433-0,GB433,0,
GB519-1,GB519,1,
GB519-0,GB519,0,
GB520-1,GB520,1,
GB520-0,GB520,0,
GB521-1,GB521,1,
GB521-0,GB521,0,
GB522-1,GB522,1,
GB522-0,GB522,0,
TE003-1,TE003,1,
TE003-0,TE003,0,
TE004-1,TE004,1,
TE004-0,TE004,0,
TE005-1,TE005,1,
TE005-0,TE005,0,
TE006-1,TE006,1,
TE006-0,TE006,0,
TE007-1,TE007,1,
TE007-0,TE007,0,
TE008-1,TE008,1,
TE008-0,TE008,0,
TE018-1,TE018,1,
TE018-0,TE018,0,
TE019-1,TE019,1,
TE019-0,TE019,0,
TE027-1,TE027,1,
TE027-0,TE027,0,
TE031-1,TE031,1,
TE031-0,TE031,0,
TE037-1,TE037,1,
TE037-0,TE037,0,
TE038-1,TE038,1,
TE038-0,TE038,0,
TE039-1,TE039,1,
TE039-0,TE039,0,
TE050-1,TE050,1,
TE050-0,TE050,0,
TE052-1,TE052,1,
TE052-0,TE052,0,
TE053-1,TE053,1,
TE053-0,TE053,0,
TE054-1,TE054,1,
TE054-0,TE054,0,
TE059-1,TE059,1,
TE059-0,TE059,0,
TE066-1,TE066,1,
TE066-0,TE066,0,
TE078-1,TE078,1,
TE078-0,TE078,0,
TS001-1,TS001,1,
TS001-0,TS001,0,
TS002-1,TS002,1,
TS002-0,TS002,0,
TS003-1,TS003,1,
TS004-0,TS004,0,
TS005-1,TS005,1,
TS006-1,TS006,1,
TS006-0,TS006,0,
TS007-1,TS007,1,
TS008-0,TS008,0,
TS009-1,TS009,1,
TS009-0,TS009,0,
TS010-1,TS010,1,
TS010-0,TS010,0,
TS079-1,TS079,1,
TS079-0,TS079,0,
TS080-1,TS080,1,
TS080-0,TS080,0,
TS086-1,TS086,1,
TS087-0,TS087,0,
TS088-1,TS088,1,
TS088-0,TS088,0,
